[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Tag[ app_begin ] --START--
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 324 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg_replace() is deprecated Email.class.php 第 333 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg_replace() is deprecated Email.class.php 第 334 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg_replace() is deprecated Email.class.php 第 90 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8] Undefined variable: header Email.class.php 第 91 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 324 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg_replace() is deprecated Email.class.php 第 333 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg_replace() is deprecated Email.class.php 第 334 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:24+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:25+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:25+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:25+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:25+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:26+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:26+08:00 ] /getwhere3.0/index.php/Index/email | NOTIC: [8192] Function ereg() is deprecated Email.class.php 第 272 行.
[ 2015-06-04T16:00:26+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Tag[ view_template ] --START--
[ 2015-06-04T16:00:26+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Run LocationTemplate Behavior [ RunTime:0.042002s ]
[ 2015-06-04T16:00:26+08:00 ] /getwhere3.0/index.php/Index/email | INFO: Tag[ view_template ] --END-- [ RunTime:0.042002s ]
