[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ app_begin ] --START--
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [2048] Declaration of ProductModel::delete() should be compatible with Model::delete($options = Array) ProductModel.class.php 第 7 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | SQL: SHOW COLUMNS FROM `t_product` [ RunTime:0.002000s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | SQL: SHOW COLUMNS FROM `t_place` [ RunTime:0.002000s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8] Use of undefined constant ‘in’ - assumed '‘in’' ProductModel.class.php 第 45 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | SQL: DELETE FROM `t_place` WHERE ( `id` ‘IN’ (8,7) ) [ RunTime:0.000000s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_template ] --START--
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Run LocationTemplate Behavior [ RunTime:0.001001s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | INFO: Tag[ view_parse ] --START--
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T14:37:50+08:00 ] /getwhere2.9/index.php/Company | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
